ITEM_ID,PRODUCT_NAME,DEPARTMENT_NAME,PRICE,STOCK_QUANITY
1,Capri,Mercury,3224.41,7
2,Yukon XL 1500,GMC,2429.99,4
3,100,Audi,4577.48,5
4,Verona,Suzuki,2440.39,9
5,Galant,Mitsubishi,4516.49,1
6,Fox,Volkswagen,2056.07,2
7,Crown Victoria,Ford,4423.85,1
8,A4,Audi,1055.75,10
9,Courier,Ford,4900.85,4
10,Forenza,Suzuki,3572.05,1
11,Malibu,Chevrolet,4582.09,8
12,944,Porsche,4653.64,2
13,Camaro,Chevrolet,2009.69,6
14,A4,Audi,4279.34,8
15,G-Class,Mercedes-Benz,1904.06,6
16,Celica,Toyota,3492.57,3
17,Cougar,Mercury,1343.92,1
18,Prius,Toyota,4435.52,9
19,Club Wagon,Ford,3570.0,2
20,Regal,Buick,4731.8,10
